hospital_name,latitude,longitude
Altius Hospital,12.9849537,77.5569222
Bangalore Diabetes Hospital,12.9918415,77.5968531
NU Hospitals,13.011845,77.5526061
V. S. Achar Multispeciality Hospital,12.9472091,77.5966914
Nature Cure Hospital,12.933223,77.5842632
Government Hospital,12.966103,77.5549647
"Emergency Block , NIMHANS",12.9403849,77.5945391
Usha Vikranth Diagnostic Center and Hospital,12.9138086,77.5273633
Nethradhama Superspeciality Eye Hospital,12.9719805,77.6474011
Kannamangala Primary Health Center,13.0308849,77.7599564
Telerad RXDX Kadugodi,13.0028637,77.7569157
Care Health,13.0552027,77.6028234
Sri Shankara Cancer Hospital And Research Centre (A Service Unit Of Sscf),12.9542624,77.5709473
Vathsalya Speciality Hospital,12.9939752,77.5391801
Lakeside Medical Centre and Hospital,12.9878631,77.6177434
Maruthi Hospital,12.9677607,77.5413282
Aparna Hospital,12.9362087,77.616947
Apollo Spectra Hospitals,12.9338175,77.6201615
Sankeerthana Hospital and Fertility Center,12.9256013,77.6359638
Jayashree Multi Specilaity Hospital,12.881611,77.6260763
Bangalore Prime Hospital,13.066842,77.6390545
CyteCare,13.118638,77.6078781
Shiva Vision Care,12.9366526,77.6277125
Medical Center,13.0711049,77.5781394
apollo medical shop,12.8437851,77.6659275
Sujatha Hospital,12.9781293,77.6372391
Patil Hospital,13.011214,77.6979598
The Eye Surgical Centre,12.9821954,77.5493143
Omega Multispeciality Hospital,13.1001877,77.5813432
NDR Hospital,13.0957808,77.5792872
Venus Bone & Joint Centre,13.0665572,77.59647
Lourdes High School,13.0182102,77.540004
Boregowda Lingamma Hospital,13.016705,77.539386
Kanva Hospital,13.0175606,77.5394308
Kengeri Upanagara Government Hospital,12.9156896,77.4808065
Yogananda Multi Speciality Hospital,12.9158516,77.5593919
Dr. Agrawal's Eye Hospital,12.9998982,77.5501121
Ashok Hospital,12.9948905,77.5347984
Balaji Hospital and Gastroenterology Center,12.9376087,77.5666429
Abhay Hospital,12.9517481,77.4939886
Chaitanya Hospital,13.0237316,77.5941463
Dr. B. Venkatasubbarao Memorial Hospital,12.9981979,77.568151
"South City Hospital, Bengaluru Urban",12.9497745,77.5802779
M S Ramaiah Harsha Hospital,13.0856858,77.4127015
"Sri Sai Hospital, Bengaluru Urban",13.0370143,77.6238732
Jupiter Hospital And Institute Of Vascular Surgery,12.9998457,77.5663653
"Shreyas Hospital, Bengaluru Urban",12.9829857,77.5309655
Ashirwad Hospital,13.0289685,77.6045479
N.D.R. Hospital,13.0965172,77.5787745
Asha Kiran Children & Women Health Care Centre,13.0263529,77.5933929
Krishnadevaraya Hospital And Research Centre,13.1498837,77.608248
"Mission Hospital, Bengaluru Rural",13.0744104,77.7835518
Radha Maternity and Surgical Hospital,12.9690441,77.5688544
"Hitech Kidney Stone Hospital, Bengaluru Urban",12.9878104,77.5809833
Sri Dhavantari Ayurveda Hoapital,12.9822186,77.5599374
Vaidyam Hospital,12.9845512,77.5528322
Suresh Hospital - Bangalore,12.9897745,77.5551014
Lakshmi Maternity Home,13.0058226,77.5694512
Manjunatha Maternity Home and Surgical Centre,13.0077265,77.5696993
Samprathi Eye Hospital And Squint Centre,12.9932806,77.580691
Shankara Nethralaya Eye Hospital,13.0089953,77.5406188
Supra South City Hospital,12.8919509,77.5799654
ChanRe Rheumatology and Immunology Center and Research,12.9992083,77.550269
Chandana Hospital,12.9579894,77.5114394
"J M J Hospital, Bengaluru Urban",13.0398217,77.6230843
G E F Eye Hospital,13.0672067,77.7802707
Sri Krishna Hospital,12.9215013,77.5655432
Malleswaram Eye Day Care Hospital - Bengalore,12.9966677,77.5716037
Mahaveer Eye Hospital Private Limited,12.9933551,77.5729595
Bilva Hospital,12.9989833,77.5802015
"Nethradhama Superspeciality Eye Hospital, Jayanagar",12.9256932,77.5773127
Dr Agarwals Eye Hospital Ltd,12.9122295,77.5994906
Sri Venkateshwara Hospitals,12.926471,77.6167399
"Nova Specialty Surgery Center, Koramangala",12.9339097,77.620208
Fosa Humanitarian Hospital,12.8130672,77.5825109
C.S. Hospital,12.9118831,77.5528805
Sri Kalabyraveshwara Swamy Ayurvedic Medical College hospital,12.9650437,77.5435022
"Anugraha Hospital, Vijayanagar",12.9765645,77.5455876
Apple Hospital,13.103924,77.5837862
Amar Hospital,12.9711822,77.5781228
Retina Institute Of Karnataka,12.95727,77.5640827
The Venlakh Hospital,12.9572978,77.5644522
Vishwabharathi Hospital Pvt. Ltd,12.9406698,77.5644596
"Sunetra Eye Hospital, Bengaluru Urban",12.9404548,77.5578493
Sri Vivekananda Sevashrama,12.9253299,77.5711893
Saraswathi Hospital,12.9276382,77.568896
National Institute of Mental Health and Neuro Sciences,12.9386321,77.5944105
Netraspandana Healthcare and Research Pvt. Ltd,12.9291283,77.5461361
North City CT Scan,13.0945892,77.594104
Nu Trust,12.9176216,77.5550705
"Padmavathi Hospital, Bengaluru Urban",12.9817311,77.5333714
Panchamukhi Specialityu Hospital,12.9957177,77.5031644
Sri Lakshmi Multi Speciality Hospital,12.9881868,77.5087273
K C Raju Multi Speciality Hospital,13.0090828,77.6235594
Ring Road Hospital,12.9278657,77.5519297
