hospital_name,latitude,longitude
PESU HOSPITAL,12.8628027,77.6663559
Vasavi Hospital,12.9031532,77.5603082
Brains Hospital,13.1183866,77.6082057
ESI Hospital Peenya,13.0249864,77.530936
Rainbow Childrens Hospital,12.9202359,77.6674739
Safa Medicure Hospital,12.9447394,77.5964164
Chaitanya Medical Centre Maternity and Surgical Care,13.0924907,77.5863327
Rangadore Memorial Hospital,12.9538911,77.5711462
Trustwell Hospitals,12.9606538,77.5840403
St. John's Health Centre,12.8137466,77.5104134
BEML Hospital,12.971172,77.6651791
Sri Vishveshathirtha Memorial Hospital,12.9566836,77.712382
Government Maternity Hospital,13.0214793,77.55361
Government Multi-Speciality Hospital,12.9510658,77.4810597
Klinik Guhen - Dental Clinic,12.9090409,77.66389
Yadiyuru Maternity Hospital,12.9271061,77.576658
Ayurveda Prathisthana Hospital,12.9267938,77.5772972
East Point Hospital and Medical College,13.0529326,77.7172701
Vimalaya Hospital,12.8348606,77.6807681
Shanthinilaya Hospital,13.0207585,77.7016687
Apex Hospital,13.115139,77.6339212
Vignan Hospital,12.9438635,77.5969221
Mahanandi,12.967036,77.717977
Aarogya Hastha Hospital,12.9005656,77.6757868
Life Care Hospital,12.9239736,77.6133232
Unnamed Hospital,13.0564574,77.7156811
BGS Medical College Hospital,13.0912518,77.4262226
Unnamed Hospital,13.0947708,77.5832502
Aster Whitefield Hospital,12.9890029,77.7338372
Kaggalipura Government Hospital,12.8050377,77.5121793
SPS Surgicals,12.9541576,77.6608368
Unnamed Hospital,12.9541576,77.6608368
Vanivilas Women and Children Hospital,12.9614692,77.5736889
Minto Eye Hospital,12.9610731,77.572289
M S Ramaiah Hospital,13.0297293,77.5685912
Faculty Of Dental Sciences,13.0292222,77.5693751
Rajarajeshwari Medical College and Hospital,12.8951439,77.461988
Vydehi Institute Of Medical Sciences And Research Centre,12.9754934,77.7293535
Sapthagiri Hospital,13.0705768,77.5023526
St.John's Medical College Hospital,12.929648,77.6185932
